# Speed (Mbps)   Latency (ms)
    1.0000     5.4676
    1.2965     9.6527
    1.5930     4.5821
    1.8894     5.9006
    2.1859     4.8497
    2.4824     9.6721
    2.7789     4.2539
    3.0754     7.1663
    3.3719    10.1230
    3.6683     7.0854
    3.9648     7.1288
    4.2613     3.9916
    4.5578     6.3936
    4.8543     8.2604
    5.1508     6.5399
    5.4472     4.0393
    5.7437     4.3228
    6.0402     3.9119
    6.3367     3.7305
    6.6332     4.1632
    6.9296     3.8512
    7.2261     6.3807
    7.5226     2.0456
    7.8191     3.1030
    8.1156     5.7470
    8.4121     3.9240
    8.7085     8.8123
    9.0050     2.7661
    9.3015     5.4518
    9.5980     5.5188
    9.8945     2.3680
   10.1910     5.8361
   10.4874     3.8268
   10.7839     8.6659
   11.0804     3.7173
   11.3769     5.5037
   11.6734     1.2499
   11.9698     1.9632
   12.2663     6.9889
   12.5628     5.4781
   12.8593     2.7578
   13.1558     6.3846
   13.4523     7.5514
   13.7487     8.2482
   14.0452     6.9215
   14.3417     7.4585
   14.6382     7.0521
   14.9347     8.1110
   15.2312     6.5762
   15.5276     6.3051
   15.8241     5.4295
   16.1206     6.8897
   16.4171     5.6888
   16.7136     3.8696
   17.0101     5.6665
   17.3065     6.2247
   17.6030     6.8076
   17.8995     7.8927
   18.1960     3.5996
   18.4925     6.6997
   18.7889     5.0578
   19.0854     7.2943
   19.3819     5.2531
   19.6784     5.1875
   19.9749     6.0420
   20.2714     6.8070
   20.5678     6.8059
   20.8643     7.5211
   21.1608     3.7301
   21.4573     9.2196
   21.7538     9.3634
   22.0503    11.8861
   22.3467     3.5580
   22.6432     8.0802
   22.9397     6.3609
   23.2362     6.2393
   23.5327     6.8929
   23.8291     7.4831
   24.1256     5.8130
   24.4221    10.7940
   24.7186     7.6453
   25.0151     8.2820
   25.3116     4.8906
   25.6080     8.9629
   25.9045     6.0542
   26.2010     6.0648
   26.4975     4.3345
   26.7940     4.4013
   27.0905     4.0084
   27.3869     6.9816
   27.6834     2.1552
   27.9799     7.0964
   28.2764     5.8179
   28.5729     3.3389
   28.8693     5.7554
   29.1658     4.6746
   29.4623     7.4247
   29.7588     5.7115
   30.0553     5.2387
   30.3518     4.3306
   30.6482     7.0575
   30.9447     6.9745
   31.2412     5.1295
   31.5377     7.0227
   31.8342     7.5245
   32.1307     4.5527
   32.4271     9.2099
   32.7236     8.0384
   33.0201     5.5351
   33.3166     9.3346
   33.6131     6.0951
   33.9095     9.7490
   34.2060     6.8817
   34.5025     5.7247
   34.7990     6.7307
   35.0955     8.5986
   35.3920     9.8786
   35.6884     7.5583
   35.9849     7.2586
   36.2814     8.0712
   36.5779     4.7309
   36.8744     6.9563
   37.1709     6.3185
   37.4673     7.0972
   37.7638     4.9650
   38.0603     6.1209
   38.3568     6.2482
   38.6533     6.3251
   38.9497    11.6513
   39.2462     6.8202
   39.5427     9.0208
   39.8392     5.7649
   40.1357     4.2180
   40.4322     5.1390
   40.7286     7.5357
   41.0251     8.0556
   41.3216     9.7602
   41.6181     7.9369
   41.9146    10.2516
   42.2111     7.5917
   42.5075     6.4322
   42.8040     7.1373
   43.1005     5.5655
   43.3970     8.6980
   43.6935     7.3585
   43.9899    10.9478
   44.2864     7.6203
   44.5829    12.8723
   44.8794     9.6113
   45.1759    10.1142
   45.4724     5.4631
   45.7688     3.4262
   46.0653     8.8645
   46.3618     9.5233
   46.6583     9.6343
   46.9548     8.3752
   47.2513     8.5708
   47.5477    10.1781
   47.8442     9.3469
   48.1407     7.6562
   48.4372     4.1365
   48.7337     8.5330
   49.0302     8.5839
   49.3266     9.2712
   49.6231     4.6450
   49.9196     7.8810
   50.2161    11.1841
   50.5126    11.0454
   50.8090     5.8718
   51.1055     7.0696
   51.4020     7.9224
   51.6985    15.1061
   51.9950     9.5509
   52.2915     8.5439
   52.5879     9.7222
   52.8844     7.6284
   53.1809     8.4459
   53.4774     8.7537
   53.7739    14.3072
   54.0704     7.6159
   54.3668    11.5041
   54.6633     8.4006
   54.9598    11.1020
   55.2563    11.0951
   55.5528     7.5115
   55.8492     9.9417
   56.1457     6.5086
   56.4422    10.0013
   56.7387     5.3102
   57.0352    10.6001
   57.3317     9.4825
   57.6281    13.2511
   57.9246     7.3016
   58.2211    11.5461
   58.5176    12.2194
   58.8141    10.2356
   59.1106     6.3863
   59.4070    10.6931
   59.7035     9.8523
   60.0000    10.4910
